"","n","n_Lower","n_Middle","n_Upper","n_Headwaters","p_Lower","p_Middle","p_Upper","p_Headwaters"
"Tagging",149,12,51,21,65,"0.08 (0.02)","0.34 (0.04)","0.14 (0.03)","0.44 (0.04)"
"2021-12-22",89,7,40,34,8,"0.08 (0.03)","0.45 (0.05)","0.38 (0.05)","0.09 (0.03)"
"2022-03-15",120,12,45,55,8,"0.1 (0.03)","0.38 (0.04)","0.46 (0.05)","0.07 (0.02)"
"2022-04-22",115,10,41,56,8,"0.09 (0.03)","0.36 (0.04)","0.49 (0.05)","0.07 (0.02)"
"2022-05-18",105,10,39,43,13,"0.1 (0.03)","0.37 (0.05)","0.41 (0.05)","0.12 (0.03)"
"2022-05-25",104,9,41,43,11,"0.09 (0.03)","0.39 (0.05)","0.41 (0.05)","0.11 (0.03)"
"2022-06-02",107,7,43,42,15,"0.07 (0.02)","0.4 (0.05)","0.39 (0.05)","0.14 (0.03)"
"2022-07-31",94,5,35,21,33,"0.05 (0.02)","0.37 (0.05)","0.22 (0.04)","0.35 (0.05)"
"2022-08-19",77,2,25,22,28,"0.03 (0.02)","0.32 (0.05)","0.29 (0.05)","0.36 (0.05)"
"2022-10-25",83,6,33,25,19,"0.07 (0.03)","0.4 (0.05)","0.3 (0.05)","0.23 (0.05)"
"2023-03-16",41,1,9,24,7,"0.02 (0.02)","0.22 (0.06)","0.59 (0.08)","0.17 (0.06)"
"2023-05-09",10,0,0,8,2,"0 (0)","0 (0)","0.8 (0.13)","0.2 (0.13)"
"2023-05-18",75,8,32,25,10,"0.11 (0.04)","0.43 (0.06)","0.33 (0.05)","0.13 (0.04)"
"2023-05-24",78,10,27,25,16,"0.13 (0.04)","0.35 (0.05)","0.32 (0.05)","0.21 (0.05)"
"2023-06-26",62,3,21,20,18,"0.05 (0.03)","0.34 (0.06)","0.32 (0.06)","0.29 (0.06)"
